city,cloudiness,country,dates,humidity,latitude,longitude,temperature,windspeed
dingle,31,PH,1619759754,39,10.9995,122.6711,92.21,7.23
busselton,45,AU,1619759755,78,-33.65,115.3333,62.01,1.99
bengkulu,98,ID,1619759757,78,-3.8004,102.2655,81.64,5.66
salalah,40,OM,1619759362,74,17.0151,54.0924,86.0,10.36
saint-philippe,0,RE,1619759761,74,-21.3585,55.7679,80.6,20.71
saint george,1,US,1619759764,18,37.1041,-113.5841,73.99,4.61
bredasdorp,5,ZA,1619759766,87,-34.5322,20.0403,50.0,5.75
tignere,95,CM,1619759768,69,7.3667,12.65,65.82,2.62
sao joao da barra,56,BR,1619759769,87,-21.6403,-41.0511,66.58,12.03
georgetown,20,MY,1619759484,70,5.4112,100.3354,87.8,4.61
abu kamal,0,SY,1619759774,27,34.4506,40.9171,81.93,12.75
port alfred,96,ZA,1619759776,65,-33.5906,26.891,63.01,14.18
morondava,35,MG,1619759777,67,-20.2833,44.2833,79.92,6.89
alexandria,0,EG,1619759779,82,31.2156,29.9553,66.2,9.22
sorland,75,NO,1619759781,80,67.667,12.6934,32.0,5.75
kruisfontein,85,ZA,1619759782,95,-34.0033,24.7314,54.0,7.96
hermanus,54,ZA,1619759784,91,-34.4187,19.2345,51.01,3.98
sioux lookout,1,CA,1619759786,69,50.1001,-91.917,33.8,8.05
cape town,0,ZA,1619759522,77,-33.9258,18.4232,57.2,11.5
benicarlo,91,ES,1619759789,94,40.4165,0.4271,52.0,1.99
sakakah,0,SA,1619759466,17,29.9697,40.2064,69.8,5.75
lebu,100,CL,1619759793,93,-37.6167,-73.65,55.18,9.04
ushuaia,90,AR,1619759670,75,-54.8,-68.3,39.2,2.19
bubaque,51,GW,1619759400,66,11.2833,-15.8333,77.61,11.23
uige,100,AO,1619759798,97,-7.6087,15.0613,67.51,1.92
coxim,99,BR,1619759800,38,-18.5067,-54.76,64.92,4.56
port-gentil,100,GA,1619759801,80,-0.7193,8.7815,79.39,5.99
chicama,1,PE,1619759803,82,-7.8447,-79.1469,68.02,5.61
ancud,90,CL,1619759804,100,-41.8697,-73.8203,55.99,12.66
nizhnyaya salda,89,RU,1619759806,46,58.0776,60.7202,42.19,13.31
aripuana,100,BR,1619759107,97,-9.1667,-60.6333,70.9,2.24
uribia,87,CO,1619759809,71,11.7139,-72.266,78.4,7.49
longyearbyen,40,SJ,1619759811,58,78.2186,15.6401,21.2,10.36
luderitz,0,NA,1619759813,76,-26.6481,15.1594,54.3,18.54
mar del plata,0,AR,1619759814,94,-38.0023,-57.5575,59.0,11.5
kidal,15,ML,1619759816,12,18.4411,1.4078,84.4,3.13
carauari,93,BR,1619759439,99,-4.8828,-66.8958,71.82,1.28
nador,0,MA,1619759819,77,35.174,-2.9287,60.8,3.58
faya,0,SA,1619759579,63,18.3851,42.4509,64.4,9.22
manjacaze,0,MZ,1619759822,78,-24.7117,33.8828,67.55,5.46
liwale,96,TZ,1619759824,94,-9.7667,37.9333,70.97,3.74
dikson,40,RU,1619759826,86,73.5069,80.5464,13.78,11.39
cidreira,1,BR,1619759828,80,-30.1811,-50.2056,64.35,7.61
miraflores,75,MX,1619759830,59,19.2167,-98.8083,64.4,4.61
qaanaaq,100,GL,1619759831,60,77.484,-69.3632,25.02,10.33
puerto carreno,96,CO,1619759833,92,6.189,-67.4859,71.65,6.89
san cristobal,100,VE,1619759835,99,7.7669,-72.225,66.06,1.54
lagunas,45,PE,1619759836,96,-5.2269,-75.6753,70.0,3.13
